ticket_id,created_at,customer_name,customer_segment,plan_type,arr_band,priority,status,channel,subject,description,product_area,sentiment,csat_score,first_response_hours,resolution_hours,bot_solvable_label
TCK-1001,2026-03-12,Summit Legal,Mid-Market,Pro,$50K-$100K,High,In Progress,Email,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Analytics,Very Negative,1,6.2,81.4,product_bug
TCK-1002,2026-01-08,Finchly,SMB,Starter,<$25K,High,In Progress,Slack Connect,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Billing,Positive,4,5.5,53.5,bot_solvable
TCK-1003,2026-03-13,LumaHR,Mid-Market,Pro,$50K-$100K,High,Closed,Chat,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Billing,Negative,2,6.3,36.2,bot_solvable
TCK-1004,2026-03-28,LumaHR,Mid-Market,Pro,$50K-$100K,Medium,Open,Portal,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Product,Negative,2,3.4,33.6,feature_request
TCK-1005,2026-05-18,Northstar Analytics,Enterprise,Enterprise,$500K+,Medium,Escalated,Portal,Setup documentation is confusing for first workspace,Customer says the onboarding guide skips required setup steps and does not explain the workspace approval flow. The account team says this is visible to executive stakeholders. Account: Northstar Analytics.,Onboarding,Positive,4,0.9,26.9,bot_solvable
TCK-1006,2026-01-18,Finchly,SMB,Starter,<$25K,Critical,Closed,Email,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Core Platform,Negative,2,8.9,81.0,product_bug
TCK-1007,2026-04-04,Nimbus Retail,SMB,Pro,$25K-$50K,Critical,In Progress,Email,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Core Platform,Very Negative,1,6.1,65.6,product_bug
TCK-1008,2026-05-17,Finchly,SMB,Starter,<$25K,Low,In Progress,Chat,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Security,Positive,5,3.5,86.6,bot_solvable
TCK-1009,2026-01-15,Summit Legal,Mid-Market,Pro,$50K-$100K,Critical,Closed,Portal,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Core Platform,Negative,2,3.7,11.1,product_bug
TCK-1010,2026-04-12,LumaHR,Mid-Market,Pro,$50K-$100K,Low,Closed,Portal,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Security,Positive,4,1.4,64.5,bot_solvable
TCK-1011,2026-04-13,HarborCloud,Enterprise,Enterprise,$250K-$500K,High,In Progress,Email,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Integrations,Negative,2,4.7,14.2,human_required
TCK-1012,2026-02-10,Acme Finance,Enterprise,Enterprise,$500K+,Medium,Closed,Portal,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Analytics,Positive,4,3.6,87.3,product_bug
TCK-1013,2026-01-03,OrbitOps,Mid-Market,Growth,$100K-$250K,Medium,Closed,Portal,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The customer says the issue is slowing a planned rollout. Account: OrbitOps.,Automation,Positive,5,6.8,71.8,human_required
TCK-1014,2026-02-10,Acme Finance,Enterprise,Enterprise,$500K+,High,Open,Email,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Core Platform,Negative,2,8.8,73.3,product_bug
TCK-1015,2026-05-10,Summit Legal,Mid-Market,Pro,$50K-$100K,Medium,In Progress,Email,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Core Platform,Neutral,3,6.9,53.1,product_bug
